,State,Year,District,Dem Votes,GOP Votes,D Voteshare
0,AK,2016,District B,7336,8429,0.4653346019663812
1,AK,2016,District D,0,11689,0.0
2,AK,2016,District F,0,12284,0.0
3,AK,2016,District H,6125,4674,0.5671821464950458
4,AK,2016,District J,8103,0,1.0
5,AK,2016,District L,5971,7645,0.43852820211515864
6,AK,2016,District N,0,9570,0.0
7,AK,2016,District P,0,12950,0.0
8,AK,2016,District R,0,12882,0.0
9,AK,2016,District T,8603,0,1.0
10,AR,2016,District 22,9477,14453,0.3960300877559549
11,AR,2016,District 26,21040,0,1.0
12,AR,2016,District 27,13986,16803,0.45425314235603625
13,AR,2016,District 32,28082,0,1.0
14,AR,2016,District 34,15541,21497,0.419596090501647
15,AZ,2016,District 1,0,87011,0.0
16,AZ,2016,District 10,50850,43526,0.5388022378570823
17,AZ,2016,District 11,40390,59475,0.4044460021028388
18,AZ,2016,District 12,37178,69356,0.3489777911277151
19,AZ,2016,District 13,0,62124,0.0
20,AZ,2016,District 14,32229,54084,0.3733968231900177
21,AZ,2016,District 15,36414,62691,0.3674284849402149
22,AZ,2016,District 16,30180,56096,0.34980759423246327
23,AZ,2016,District 17,41676,54454,0.43353791740351605
24,AZ,2016,District 18,53962,50935,0.5144284393261962
25,AZ,2016,District 19,38817,0,1.0
26,AZ,2016,District 2,39693,27066,0.594571518446951
27,AZ,2016,District 20,28987,40122,0.4194388574570606
28,AZ,2016,District 21,0,64404,0.0
29,AZ,2016,District 22,38620,71863,0.3495560402957921
30,AZ,2016,District 23,0,88099,0.0
31,AZ,2016,District 24,54351,0,1.0
32,AZ,2016,District 25,0,69914,0.0
33,AZ,2016,District 26,40995,0,1.0
34,AZ,2016,District 27,40085,0,1.0
35,AZ,2016,District 28,48124,50436,0.4882711038961039
36,AZ,2016,District 29,29638,13615,0.6852241463019906
37,AZ,2016,District 3,48887,0,1.0
38,AZ,2016,District 30,27941,14152,0.6637920794431378
39,AZ,2016,District 4,37668,0,1.0
40,AZ,2016,District 5,0,62615,0.0
41,AZ,2016,District 6,47557,49318,0.4909109677419355
42,AZ,2016,District 7,54421,0,1.0
43,AZ,2016,District 8,28585,32366,0.46898328165247494
44,AZ,2016,District 9,68109,0,1.0
45,CA,2016,District 1,323004,574628,0.35984011265195537
46,CA,2016,District 11,410778,0,1.0
47,CA,2016,District 13,592800,188538,0.7586985401964322
48,CA,2016,District 15,313531,0,1.0
49,CA,2016,District 17,537612,282678,0.6553926050543101
50,CA,2016,District 19,449668,263196,0.6307907258607532
51,CA,2016,District 21,285772,320086,0.47168148311980695
52,CA,2016,District 23,283066,368940,0.4341463115370104
53,CA,2016,District 25,436484,318028,0.5784984201709185
54,CA,2016,District 27,437310,345654,0.5585314267322635
55,CA,2016,District 29,320460,315464,0.5039281423566339
56,CA,2016,District 3,357628,0,1.0
57,CA,2016,District 31,335148,218476,0.6053711544297212
58,CA,2016,District 33,355942,0,1.0
59,CA,2016,District 35,252808,0,1.0
60,CA,2016,District 37,344910,456960,0.43013206629503536
61,CA,2016,District 39,517372,310106,0.6252395834088641
62,CA,2016,District 5,349694,267208,0.5668550272166406
63,CA,2016,District 7,540970,270244,0.666864723735044
64,CA,2016,District 9,379706,0,1.0
65,CO,2016,District 10,24430,47832,0.3380753369682544
66,CO,2016,District 12,0,45938,0.0
67,CO,2016,District 14,52902,32886,0.6166596726814939
68,CO,2016,District 17,57649,0,1.0
69,CO,2016,District 18,67799,17370,0.7960525543331494
70,CO,2016,District 19,39070,37592,0.5096397172001774
71,CO,2016,District 21,38428,352,0.9909231562661166
72,CO,2016,District 23,40281,55528,0.42043023098038806
73,CO,2016,District 25,27678,30074,0.47925612965784736
74,CO,2016,District 26,42145,36666,0.5347603760896321
75,CO,2016,District 27,38489,44169,0.46564155919572214
76,CO,2016,District 28,39143,31096,0.5572829909309642
77,CO,2016,District 29,30998,22503,0.579391039419824
78,CO,2016,District 31,57793,25268,0.695789841201045
79,CO,2016,District 33,57049,12564,0.8195164696249264
80,CO,2016,District 35,23358,38880,0.37530126289405186
81,CO,2016,District 4,27779,62981,0.3060709563684442
82,CO,2016,District 8,32530,39526,0.4514544243366271
83,CT,2016,District 1,20437,6052,0.7715278039941108
84,CT,2016,District 10,26153,0,1.0
85,CT,2016,District 11,28731,0,1.0
86,CT,2016,District 12,32089,21208,0.6020789162617033
87,CT,2016,District 13,20866,21761,0.4895019588523706
88,CT,2016,District 14,26549,20836,0.5602827899124195
89,CT,2016,District 15,20312,0,1.0
90,CT,2016,District 16,17966,29610,0.377627375147133
91,CT,2016,District 17,20769,21602,0.49017016355526183
92,CT,2016,District 18,18447,24795,0.4265991397252671
93,CT,2016,District 19,24614,17452,0.5851281319830742
94,CT,2016,District 2,30772,5888,0.8393889798145118
95,CT,2016,District 20,17761,26501,0.4012697121684515
96,CT,2016,District 21,16561,30966,0.3484545626696404
97,CT,2016,District 22,22271,16885,0.5687761773419144
98,CT,2016,District 23,19689,2583,0.8840247844827587
99,CT,2016,District 24,18745,20501,0.4776282933292565
100,CT,2016,District 25,26509,17573,0.6013565627693843
101,CT,2016,District 26,22898,34627,0.3980530204259018
102,CT,2016,District 27,24149,11993,0.6681699961263904
103,CT,2016,District 28,21441,32659,0.39632162661737524
104,CT,2016,District 29,22180,18280,0.5481957488877904
105,CT,2016,District 3,23913,18650,0.5618259991072058
106,CT,2016,District 30,21042,26676,0.44096567333081854
107,CT,2016,District 31,18053,27162,0.399270153710052
108,CT,2016,District 32,17099,33090,0.3406921835461954
109,CT,2016,District 33,22954,31594,0.420803695827528
110,CT,2016,District 34,0,35049,0.0
111,CT,2016,District 35,19199,31829,0.3762444148310731
112,CT,2016,District 36,19291,28901,0.40029465471447545
113,CT,2016,District 4,24146,23557,0.5061736159151417
114,CT,2016,District 5,30655,21128,0.5919896491126432
115,CT,2016,District 6,18227,10788,0.6281923143201792
116,CT,2016,District 7,18388,28651,0.39090967069878185
117,CT,2016,District 8,18204,32839,0.35664047959563505
118,CT,2016,District 9,29684,17213,0.6329615966906199
119,DE,2016,District 1,11858,9195,0.5632451432099939
120,DE,2016,District 12,18961,0,1.0
121,DE,2016,District 13,14503,0,1.0
122,DE,2016,District 14,13454,9138,0.595520538243626
123,DE,2016,District 15,0,15036,0.0
124,DE,2016,District 19,0,14003,0.0
125,DE,2016,District 20,6831,17908,0.27612272120942644
126,DE,2016,District 5,9596,14083,0.4052536002364965
127,DE,2016,District 7,9398,9604,0.49457951794547944
128,DE,2016,District 8,8862,8115,0.522000353419332
129,DE,2016,District 9,13500,0,1.0
130,FL,2016,District 1,0,199929,0.0
131,FL,2016,District 11,151329,0,1.0
132,FL,2016,District 12,0,216234,0.0
133,FL,2016,District 13,129598,93444,0.5810475157145291
134,FL,2016,District 14,0,158946,0.0
135,FL,2016,District 15,142432,97862,0.5927405594813021
136,FL,2016,District 16,0,189514,0.0
137,FL,2016,District 17,100091,164146,0.37879252337863356
138,FL,2016,District 18,97211,113125,0.462170051726761
139,FL,2016,District 19,141305,69875,0.6691211288947817
140,FL,2016,District 22,101261,116464,0.4650866919278907
141,FL,2016,District 23,110937,157910,0.41263990299315223
142,FL,2016,District 25,83027,152943,0.3518540492435479
143,FL,2016,District 27,0,181783,0.0
144,FL,2016,District 28,0,179126,0.0
145,FL,2016,District 3,159288,77192,0.6735791610284168
146,FL,2016,District 30,119559,101516,0.540807418296958
147,FL,2016,District 34,128640,75368,0.6305635073134387
148,FL,2016,District 36,67003,81972,0.44976002685014266
149,FL,2016,District 37,87794,81938,0.5172507246718356
150,FL,2016,District 38,117948,0,1.0
151,FL,2016,District 39,82117,97343,0.45757829042683607
152,FL,2016,District 40,80551,100170,0.44572019853807804
153,FL,2016,District 7,98378,174320,0.3607580546978709
154,FL,2016,District 8,107990,119895,0.47387936897996796
155,GA,2016,District 1,0,59151,0.0
156,GA,2016,District 10,70764,0,1.0
157,GA,2016,District 11,0,49068,0.0
158,GA,2016,District 12,48863,0,1.0
159,GA,2016,District 13,16853,43534,0.27908324639409143
160,GA,2016,District 14,0,63251,0.0
161,GA,2016,District 15,44076,0,1.0
162,GA,2016,District 16,0,66383,0.0
163,GA,2016,District 17,32772,48444,0.403516548463357
164,GA,2016,District 18,0,60751,0.0
165,GA,2016,District 19,0,43329,0.0
166,GA,2016,District 2,54264,0,1.0
167,GA,2016,District 20,0,60774,0.0
168,GA,2016,District 21,0,78154,0.0
169,GA,2016,District 22,52532,0,1.0
170,GA,2016,District 23,0,52831,0.0
171,GA,2016,District 24,25988,56883,0.31359582966297017
172,GA,2016,District 25,0,60036,0.0
173,GA,2016,District 26,47812,0,1.0
174,GA,2016,District 27,20153,73417,0.2153788607459656
175,GA,2016,District 28,0,68100,0.0
176,GA,2016,District 29,26282,47258,0.35738373674190915
177,GA,2016,District 3,0,53872,0.0
178,GA,2016,District 30,0,58574,0.0
179,GA,2016,District 31,0,60268,0.0
180,GA,2016,District 32,0,78117,0.0
181,GA,2016,District 33,52902,0,1.0
182,GA,2016,District 34,53434,0,1.0
183,GA,2016,District 35,66099,0,1.0
184,GA,2016,District 36,66698,0,1.0
185,GA,2016,District 37,0,70588,0.0
186,GA,2016,District 38,59542,16265,0.7854419776537787
187,GA,2016,District 39,67041,0,1.0
188,GA,2016,District 4,0,54539,0.0
189,GA,2016,District 40,32785,42050,0.4380971470568584
190,GA,2016,District 41,52579,0,1.0
191,GA,2016,District 42,62146,18687,0.768819665235733
192,GA,2016,District 43,50436,21175,0.7043052045076874
193,GA,2016,District 44,66050,0,1.0
194,GA,2016,District 45,0,64059,0.0
195,GA,2016,District 46,0,62565,0.0
196,GA,2016,District 47,0,57837,0.0
197,GA,2016,District 48,0,51546,0.0
198,GA,2016,District 49,0,59242,0.0
199,GA,2016,District 5,35586,0,1.0
200,GA,2016,District 50,0,61180,0.0
201,GA,2016,District 51,0,70737,0.0
202,GA,2016,District 52,0,52820,0.0
203,GA,2016,District 53,0,55148,0.0
204,GA,2016,District 54,0,46908,0.0
205,GA,2016,District 55,61907,17686,0.7777945296696945
206,GA,2016,District 56,32969,49202,0.40122427620450035
207,GA,2016,District 6,39201,42338,0.480763806276751
208,GA,2016,District 7,0,48481,0.0
209,GA,2016,District 8,20661,37237,0.3568517047220975
210,GA,2016,District 9,0,65094,0.0
211,HI,2016,District 1 Vacancy,14488,0,1.0
212,HI,2016,District 10,13845,0,1.0
213,HI,2016,District 11,14943,3416,0.8139332207636581
214,HI,2016,District 13,10815,3826,0.738679051977324
215,HI,2016,District 15,9226,0,1.0
216,HI,2016,District 19,7880,4912,0.6160100062539087
217,HI,2016,District 2,11664,0,1.0
218,HI,2016,District 25,14212,6886,0.6736183524504692
219,HI,2016,District 9,13433,11985,0.5284837516720434
220,IA,2016,District 10,10006,20053,0.3328786719451745
221,IA,2016,District 12,0,20012,0.0
222,IA,2016,District 14,0,19482,0.0
223,IA,2016,District 16,14046,8114,0.6338447653429603
224,IA,2016,District 18,20388,0,1.0
225,IA,2016,District 2,0,27522,0.0
226,IA,2016,District 20,15238,22431,0.40452361358145955
227,IA,2016,District 22,15343,19413,0.4414489584532167
228,IA,2016,District 24,11006,19435,0.3615518544068855
229,IA,2016,District 26,11557,19165,0.3761799362020702
230,IA,2016,District 28,10823,17501,0.3821141081768112
231,IA,2016,District 30,19568,13754,0.5872396614849049
232,IA,2016,District 32,12441,18641,0.4002638182871115
233,IA,2016,District 34,20008,15673,0.5607466158459684
234,IA,2016,District 36,13111,14731,0.4709072624093097
235,IA,2016,District 38,10524,18567,0.36176136949572035
236,IA,2016,District 4,11889,18359,0.39305078021687384
237,IA,2016,District 40,0,23768,0.0
238,IA,2016,District 42,13434,13266,0.5031460674157303
239,IA,2016,District 44,13000,14410,0.47427946005107624
240,IA,2016,District 46,12615,16576,0.43215374601760814
241,IA,2016,District 48,10596,20065,0.34558559733863864
242,IA,2016,District 50,18345,10635,0.6330227743271222
243,IA,2016,District 6,0,20223,0.0
244,IA,2016,District 8,10510,12379,0.45917252828869765
245,ID,2016,District 1,5365,17264,0.2370851562154757
246,ID,2016,District 10,4524,9762,0.31667366652666945
247,ID,2016,District 11,3302,14206,0.18859949737262965
248,ID,2016,District 12,4412,11672,0.2743098731658791
249,ID,2016,District 13,5055,12439,0.28895621355893447
250,ID,2016,District 14,7903,19011,0.2936389982908523
251,ID,2016,District 15,8203,10580,0.43672469786509077
252,ID,2016,District 16,11360,8563,0.5701952517191186
253,ID,2016,District 17,10586,6235,0.6293323821413709
254,ID,2016,District 18,16833,0,1.0
255,ID,2016,District 19,19679,0,1.0
256,ID,2016,District 2,0,20240,0.0
257,ID,2016,District 20,6525,13787,0.3212386766443482
258,ID,2016,District 21,0,17462,0.0
259,ID,2016,District 22,0,13805,0.0
260,ID,2016,District 23,0,12422,0.0
261,ID,2016,District 24,6004,10698,0.35947790683750447
262,ID,2016,District 25,4620,12077,0.27669641252919686
263,ID,2016,District 26,10470,7863,0.5711012927507773
264,ID,2016,District 27,0,13259,0.0
265,ID,2016,District 28,7404,11880,0.3839452395768513
266,ID,2016,District 29,8018,7482,0.5172903225806451
267,ID,2016,District 3,0,16990,0.0
268,ID,2016,District 30,0,17000,0.0
269,ID,2016,District 31,0,13954,0.0
270,ID,2016,District 32,4139,16168,0.2038213423942483
271,ID,2016,District 33,0,11848,0.0
272,ID,2016,District 34,0,17305,0.0
273,ID,2016,District 35,0,16665,0.0
274,ID,2016,District 4,7793,13233,0.37063635498906117
275,ID,2016,District 5,10939,11275,0.49243720176465294
276,ID,2016,District 6,0,16722,0.0
277,ID,2016,District 7,5071,14318,0.2615400484810975
278,ID,2016,District 8,0,16015,0.0
279,ID,2016,District 9,3642,14370,0.2021985343104597
280,IL,2016,District 1,46434,0,1.0
281,IL,2016,District 10,63145,0,1.0
282,IL,2016,District 11,49632,0,1.0
283,IL,2016,District 13,78792,0,1.0
284,IL,2016,District 14,79949,0,1.0
285,IL,2016,District 16,67984,0,1.0
286,IL,2016,District 17,82868,0,1.0
287,IL,2016,District 19,83628,0,1.0
288,IL,2016,District 2,57000,0,1.0
289,IL,2016,District 20,60418,0,1.0
290,IL,2016,District 22,39835,21991,0.6443082198427846
291,IL,2016,District 23,44643,43429,0.506892088291398
292,IL,2016,District 25,45317,54636,0.4533830900523246
293,IL,2016,District 26,43738,63432,0.4081179434543249
294,IL,2016,District 28,47097,40950,0.5349074925891854
295,IL,2016,District 29,53744,37174,0.5911260696451748
296,IL,2016,District 31,48303,41044,0.540622516704534
297,IL,2016,District 32,31217,65150,0.32393869270600933
298,IL,2016,District 34,66412,0,1.0
299,IL,2016,District 35,0,78269,0.0
300,IL,2016,District 37,0,92654,0.0
301,IL,2016,District 38,40586,55848,0.4208681585332974
302,IL,2016,District 4,80583,0,1.0
303,IL,2016,District 40,71014,0,1.0
304,IL,2016,District 41,0,87665,0.0
305,IL,2016,District 43,67722,0,1.0
306,IL,2016,District 44,0,87022,0.0
307,IL,2016,District 46,70854,0,1.0
308,IL,2016,District 47,0,79854,0.0
309,IL,2016,District 49,51960,46581,0.5272932079033092
310,IL,2016,District 5,75700,0,1.0
311,IL,2016,District 50,0,89431,0.0
312,IL,2016,District 52,52401,33562,0.6095762130218815
313,IL,2016,District 53,0,84127,0.0
314,IL,2016,District 55,0,83806,0.0
315,IL,2016,District 56,78460,0,1.0
316,IL,2016,District 58,38905,59735,0.3944140308191403
317,IL,2016,District 59,43503,53501,0.448466042637417
318,IL,2016,District 7,82014,0,1.0
319,IL,2016,District 8,62149,0,1.0
320,IN,2016,District 10,31011,0,1.0
321,IN,2016,District 12,12476,29301,0.2986332192354645
322,IN,2016,District 13,10872,33720,0.24381054897739504
323,IN,2016,District 16,18110,35243,0.33943733248364666
324,IN,2016,District 18,0,39041,0.0
325,IN,2016,District 2,33465,0,1.0
326,IN,2016,District 20,19043,48651,0.28131001270422784
327,IN,2016,District 24,0,47493,0.0
328,IN,2016,District 28,21166,38404,0.3553130770522075
329,IN,2016,District 3,40458,0,1.0
330,IN,2016,District 30,33220,36848,0.47411086373237427
331,IN,2016,District 32,20202,31187,0.39311915001264863
332,IN,2016,District 33,42544,0,1.0
333,IN,2016,District 34,41398,0,1.0
334,IN,2016,District 35,18655,26631,0.41193746411694565
335,IN,2016,District 36,18384,26710,0.4076817314942121
336,IN,2016,District 37,0,48333,0.0
337,IN,2016,District 40,39664,0,1.0
338,IN,2016,District 42,14085,37843,0.27124094900631646
339,IN,2016,District 44,15406,36875,0.2946768424475431
340,IN,2016,District 5,23628,34771,0.4045959691090601
341,IN,2016,District 50,0,44623,0.0
342,IN,2016,District 7,14590,36158,0.2874990147394971
343,IN,2016,District 8,22373,31239,0.4173132880698351
344,IN,2016,District 9,0,41812,0.0
345,KS,2016,District 1,13076,18283,0.4169775821933097
346,KS,2016,District 10,17722,18673,0.4869350185465036
347,KS,2016,District 11,13983,25992,0.3497936210131332
348,KS,2016,District 12,6918,18998,0.26693934249112516
349,KS,2016,District 13,12291,15737,0.4385257599543314
350,KS,2016,District 14,7702,20452,0.27356681111032183
351,KS,2016,District 15,9963,15511,0.3911046557274083
352,KS,2016,District 16,11467,20980,0.35340709464665454
353,KS,2016,District 17,9147,13161,0.4100322754168908
354,KS,2016,District 18,15007,14076,0.5160059141078981
355,KS,2016,District 19,16181,12068,0.5727990371340579
356,KS,2016,District 2,24147,12378,0.6611088295687885
357,KS,2016,District 20,11775,22216,0.3464152275602365
358,KS,2016,District 21,15287,18149,0.45720181839933005
359,KS,2016,District 22,20849,0,1.0
360,KS,2016,District 23,12551,19277,0.3943383184617318
361,KS,2016,District 24,11228,16195,0.40943733362505924
362,KS,2016,District 25,11704,8308,0.5848490905456726
363,KS,2016,District 26,8911,20274,0.3053280794928902
364,KS,2016,District 27,11209,22252,0.3349869997908012
365,KS,2016,District 28,9353,9915,0.4854162341706456
366,KS,2016,District 29,14511,0,1.0
367,KS,2016,District 3,17214,16189,0.5153429332694668
368,KS,2016,District 30,11786,16636,0.41467876996692704
369,KS,2016,District 31,8026,23463,0.25488265743593
370,KS,2016,District 32,9844,16221,0.3776712065988874
371,KS,2016,District 33,6467,21114,0.23447300678002972
372,KS,2016,District 34,4664,21559,0.17785913129695305
373,KS,2016,District 35,8538,21271,0.2864235633533497
374,KS,2016,District 36,4686,26816,0.1487524601612596
375,KS,2016,District 37,11709,24965,0.31927250913453675
376,KS,2016,District 38,4130,12884,0.24274127189373457
377,KS,2016,District 39,3421,17231,0.16564981599845052
378,KS,2016,District 4,17090,0,1.0
