State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
AK,2016,District A,4577,4398,0.5099721448467966,0,D
AK,2016,District C,0,10030,0.0,0,R
AK,2016,District E,3992,11558,0.2567202572347267,0,R
AK,2016,District G,4911,8257,0.37294957472660994,0,R
AK,2016,District I,6724,4462,0.6011085285177901,0,D
AK,2016,District K,6281,8389,0.4281526925698705,0,R
AK,2016,District M,6110,8665,0.4135363790186125,0,R
AK,2016,District O,0,9617,0.0,0,R
AK,2016,District Q,11121,0,1.0,0,D
AK,2016,District S,8175,0,1.0,0,D
AR,2016,District 10,13261,0,1.0,0,D
AR,2016,District 14,9532,21902,0.3032385315263727,0,R
AR,2016,District 17,0,21119,0.0,0,R
AR,2016,District 19,6904,18535,0.2713943158143009,0,R
AR,2016,District 3,8968,14598,0.3805482474751761,0,R
AR,2016,District 33,10650,23009,0.31640868712677145,0,R
AR,2016,District 35,12319,15156,0.4483712465878071,0,R
AR,2016,District 4,18416,11533,0.6149120170957294,0,D
AR,2016,District 5,7868,18269,0.3010291923327084,0,R
AR,2016,District 8,0,18305,0.0,0,R
AZ,2016,District 1,33554,76856,0.3039036319173988,0,R
AZ,2016,District 10,52376,37187,0.5847950604602347,0,D
AZ,2016,District 11,43273,53232,0.4484016372208694,0,R
AZ,2016,District 12,44449,60959,0.4216852610807529,0,R
AZ,2016,District 13,30215,50432,0.37465745780996196,0,R
AZ,2016,District 14,31368,48131,0.394571000893093,0,R
AZ,2016,District 15,37971,57264,0.3987084580248858,0,R
AZ,2016,District 16,32261,51406,0.3855881052266724,0,R
AZ,2016,District 17,46264,48008,0.49075016972165647,0,R
AZ,2016,District 18,57401,43575,0.5684618127079702,0,D
AZ,2016,District 19,32872,0,1.0,0,D
AZ,2016,District 2,36893,24925,0.5968002847067198,0,D
AZ,2016,District 20,32352,35170,0.4791327271111638,0,R
AZ,2016,District 21,0,40869,0.0,0,R
AZ,2016,District 22,40957,70775,0.36656463680950846,0,R
AZ,2016,District 23,45344,67852,0.40057952577829603,0,R
AZ,2016,District 24,48245,18772,0.7198919677096856,0,D
AZ,2016,District 25,32268,52208,0.3819783133671102,0,R
AZ,2016,District 26,32812,17086,0.6575814661910298,0,D
AZ,2016,District 27,40012,0,1.0,0,D
AZ,2016,District 28,47011,47278,0.49858414024965797,0,R
AZ,2016,District 29,29003,0,1.0,0,D
AZ,2016,District 3,45529,0,1.0,0,D
AZ,2016,District 30,28574,0,1.0,0,D
AZ,2016,District 4,33034,0,1.0,0,D
AZ,2016,District 5,18530,56454,0.24711938546890003,0,R
AZ,2016,District 6,46332,48044,0.4909298974315504,0,R
AZ,2016,District 7,43179,21091,0.671837560292516,0,D
AZ,2016,District 8,24360,31181,0.43859491186690913,0,R
AZ,2016,District 9,58571,34758,0.6275755660084218,0,D
CA,2016,District 10,410478,132312,0.7562372188139059,0,D
CA,2016,District 12,220772,185382,0.5435672183457506,0,D
CA,2016,District 14,161884,128262,0.5579397958269285,0,D
CA,2016,District 16,189158,339428,0.3578566212499007,0,R
CA,2016,District 18,391246,109776,0.7808958488848793,0,D
CA,2016,District 2,467376,0,1.0,0,D
CA,2016,District 20,275496,121156,0.6945534120589333,0,D
CA,2016,District 22,203872,0,1.0,0,D
CA,2016,District 24,278946,0,1.0,0,D
CA,2016,District 26,597218,0,1.0,0,D
CA,2016,District 28,283584,302040,0.48424244907995573,0,R
CA,2016,District 30,461246,0,1.0,0,D
CA,2016,District 32,354108,175040,0.6692040790100312,0,D
CA,2016,District 34,270124,263946,0.5057838860074522,0,D
CA,2016,District 36,382784,407214,0.4845379355390773,0,R
CA,2016,District 38,332184,374690,0.4699338213033723,0,R
CA,2016,District 4,285634,380882,0.4285478518145101,0,R
CA,2016,District 40,305792,158414,0.6587420240152001,0,D
CA,2016,District 6,425806,0,1.0,0,D
CA,2016,District 8,274622,405482,0.4037941256043193,0,R
CO,2016,District 1,13894,52311,0.20986330337587797,0,R
CO,2016,District 11,28015,17200,0.6195952670573924,0,D
CO,2016,District 13,21453,33026,0.39378476110060756,0,R
CO,2016,District 15,39256,44434,0.4690644043493846,0,R
CO,2016,District 16,47403,35154,0.5741851084705113,0,D
CO,2016,District 2,22583,42531,0.3468224959302147,0,R
CO,2016,District 20,49974,39102,0.5610265391351206,0,D
CO,2016,District 22,42747,30754,0.5815839240282445,0,D
CO,2016,District 24,35578,27068,0.5679213357596654,0,D
CO,2016,District 3,39768,0,1.0,0,D
CO,2016,District 30,34604,43948,0.44052347489561056,0,R
CO,2016,District 32,53307,17294,0.7550459625217774,0,D
CO,2016,District 34,54312,11018,0.831348538190724,0,D
CO,2016,District 5,41838,27375,0.6044818169996966,0,D
CO,2016,District 6,33208,40088,0.4530670159353853,0,R
CO,2016,District 7,48410,42327,0.533519953271543,0,D
CO,2016,District 9,25892,61341,0.29681427899991975,0,R
CT,2016,District 1,41089,11272,0.7847252726265732,0,D
CT,2016,District 10,20182,2745,0.8802721681859816,0,D
CT,2016,District 11,23787,6758,0.7787526600098216,0,D
CT,2016,District 12,25265,23933,0.513537135655921,0,D
CT,2016,District 13,19502,17708,0.5241064230045687,0,D
CT,2016,District 14,21926,20888,0.5121222030177045,0,D
CT,2016,District 15,16426,0,1.0,0,D
CT,2016,District 16,18332,23988,0.4331758034026465,0,R
CT,2016,District 17,18446,18531,0.49885063688238634,0,R
CT,2016,District 18,17276,20887,0.4526897780572806,0,R
CT,2016,District 19,21389,15567,0.5787693473319623,0,D
CT,2016,District 2,26542,0,1.0,0,D
CT,2016,District 20,19164,20746,0.4801804059133049,0,R
CT,2016,District 21,18805,24589,0.433354841683182,0,R
CT,2016,District 22,19795,13712,0.5907720774763482,0,D
CT,2016,District 23,14456,2199,0.8679675773041129,0,D
CT,2016,District 24,17186,14658,0.5396935058409748,0,D
CT,2016,District 25,24444,14261,0.6315463118460147,0,D
CT,2016,District 26,28159,24574,0.5339919974209698,0,D
CT,2016,District 27,22161,11649,0.6554569653948535,0,D
CT,2016,District 28,23336,25277,0.4800362043074898,0,R
CT,2016,District 29,18915,14679,0.5630469726736917,0,D
CT,2016,District 3,22018,14260,0.6069243067423783,0,D
CT,2016,District 30,20011,23121,0.46394788092367617,0,R
CT,2016,District 31,15762,22367,0.41338613653649453,0,R
CT,2016,District 32,17501,27598,0.38805738486440944,0,R
CT,2016,District 33,40199,37789,0.5154510950402627,0,D
CT,2016,District 34,16939,23853,0.4152529907825064,0,R
CT,2016,District 35,21938,22837,0.4899609156895589,0,R
CT,2016,District 36,22261,21645,0.5070149865622011,0,D
CT,2016,District 4,23257,19632,0.5422602532117793,0,D
CT,2016,District 5,39222,23564,0.6246934029879272,0,D
CT,2016,District 6,17173,10263,0.6259294357778101,0,D
CT,2016,District 7,18476,22004,0.45642292490118574,0,R
CT,2016,District 8,20091,26418,0.431980906921241,0,R
CT,2016,District 9,24253,17674,0.5784577956925132,0,D
DE,2016,District 10,23330,14258,0.6206768117484304,0,D
DE,2016,District 11,20842,6670,0.7575603373073568,0,D
DE,2016,District 16,14054,17236,0.4491530840524129,0,R
DE,2016,District 17,18686,10388,0.6427048221778909,0,D
DE,2016,District 18,11566,21632,0.3483944815952768,0,R
DE,2016,District 2,23566,0,1.0,0,D
DE,2016,District 21,9482,17632,0.34970863760418974,0,R
DE,2016,District 3,18198,0,1.0,0,D
DE,2016,District 4,22502,19848,0.5313341204250295,0,D
DE,2016,District 6,26566,29562,0.47331100342075255,0,R
FL,2016,District 10,79349,147601,0.34963207755012116,0,R
FL,2016,District 12,91765,172776,0.3468838478723525,0,R
FL,2016,District 14,96161,124055,0.4366667272132815,0,R
FL,2016,District 16,102407,111997,0.4776356784388351,0,R
FL,2016,District 18,104078,103667,0.5009891934823942,0,D
FL,2016,District 2,48979,149157,0.24719889368918319,0,R
FL,2016,District 20,87863,101021,0.465169098494314,0,R
FL,2016,District 22,94295,105575,0.4717816580777505,0,R
FL,2016,District 23,110587,143346,0.4354967648946769,0,R
FL,2016,District 24,98104,116415,0.4573207967592614,0,R
FL,2016,District 25,98417,117056,0.4567486413610986,0,R
FL,2016,District 26,63253,117979,0.3490167299373179,0,R
FL,2016,District 28,73000,138293,0.3454918052183461,0,R
FL,2016,District 30,132241,0,1.0,0,D
FL,2016,District 34,124578,0,1.0,0,D
FL,2016,District 36,56395,66361,0.4594072794812474,0,R
FL,2016,District 4,80598,149347,0.35050990454239056,0,R
FL,2016,District 40,90924,79068,0.5348722292813779,0,D
FL,2016,District 8,98692,100690,0.49498951760941307,0,R
GA,2016,District 1,27239,42279,0.3918265772893351,0,R
GA,2016,District 10,71202,0,1.0,0,D
GA,2016,District 11,0,44900,0.0,0,R
GA,2016,District 12,44357,0,1.0,0,D
GA,2016,District 13,0,48598,0.0,0,R
GA,2016,District 14,20372,50051,0.28928049074876105,0,R
GA,2016,District 15,39590,0,1.0,0,D
GA,2016,District 16,24831,53167,0.31835431677735326,0,R
GA,2016,District 17,37034,44341,0.45510291858678953,0,R
GA,2016,District 18,0,57836,0.0,0,R
GA,2016,District 19,0,43376,0.0,0,R
GA,2016,District 2,49456,0,1.0,0,D
GA,2016,District 20,0,57444,0.0,0,R
GA,2016,District 21,25869,61508,0.29606189271776323,0,R
GA,2016,District 22,48425,0,1.0,0,D
GA,2016,District 23,0,48710,0.0,0,R
GA,2016,District 24,0,65067,0.0,0,R
GA,2016,District 25,0,57623,0.0,0,R
GA,2016,District 26,44936,0,1.0,0,D
GA,2016,District 27,24863,66016,0.273583556157088,0,R
GA,2016,District 28,0,62821,0.0,0,R
GA,2016,District 29,25840,44058,0.3696815359523878,0,R
GA,2016,District 3,19883,42097,0.3207970313004195,0,R
GA,2016,District 30,0,53233,0.0,0,R
GA,2016,District 31,0,54909,0.0,0,R
GA,2016,District 32,39167,52772,0.4260107245021155,0,R
GA,2016,District 33,51455,0,1.0,0,D
GA,2016,District 34,49728,10306,0.82833061265283,0,D
GA,2016,District 35,65152,0,1.0,0,D
GA,2016,District 36,66809,0,1.0,0,D
GA,2016,District 37,33656,48379,0.4102639117449869,0,R
GA,2016,District 38,62090,12866,0.8283526335450131,0,D
GA,2016,District 39,67101,0,1.0,0,D
GA,2016,District 4,0,51653,0.0,0,R
GA,2016,District 40,40882,33789,0.5474950114502284,0,D
GA,2016,District 41,51645,0,1.0,0,D
GA,2016,District 42,72360,0,1.0,0,D
GA,2016,District 43,60067,0,1.0,0,D
GA,2016,District 44,67284,0,1.0,0,D
GA,2016,District 45,31855,44094,0.41942619389327046,0,R
GA,2016,District 46,31207,47574,0.39612343077645623,0,R
GA,2016,District 47,23209,46008,0.33530780010691014,0,R
GA,2016,District 48,35344,30661,0.5354745852586925,0,D
GA,2016,District 49,0,55517,0.0,0,R
GA,2016,District 5,34240,0,1.0,0,D
GA,2016,District 50,0,58942,0.0,0,R
GA,2016,District 51,0,69645,0.0,0,R
GA,2016,District 52,13543,42386,0.24214629262100162,0,R
GA,2016,District 53,0,49087,0.0,0,R
GA,2016,District 54,10097,39553,0.20336354481369587,0,R
GA,2016,District 55,64385,14575,0.8154128672745694,0,D
GA,2016,District 56,37863,41845,0.47502132784664025,0,R
GA,2016,District 6,46486,33157,0.583679670529739,0,D
GA,2016,District 7,0,45441,0.0,0,R
GA,2016,District 8,0,42656,0.0,0,R
GA,2016,District 9,39139,42312,0.4805220316509312,0,R
HI,2016,District 1,12492,0,1.0,0,D
HI,2016,District 12,9507,3999,0.7039093736117281,0,D
HI,2016,District 17,7828,3538,0.6887207460848144,0,D
HI,2016,District 18,11845,5830,0.6701555869872702,0,D
HI,2016,District 19 Vacancy,6089,6205,0.4952822515047991,0,R
HI,2016,District 21,5808,4049,0.5892259308105915,0,D
HI,2016,District 3,10650,0,1.0,0,D
HI,2016,District 6,8978,0,1.0,0,D
IA,2016,District 1,0,21245,0.0,0,R
IA,2016,District 11,8770,18007,0.32751988646973146,0,R
IA,2016,District 13,13558,17199,0.44081022206327014,0,R
IA,2016,District 15,12830,16988,0.430277013884231,0,R
IA,2016,District 17,17808,0,1.0,0,D
IA,2016,District 19,17608,18598,0.48632823288957633,0,R
IA,2016,District 21,20499,10511,0.6610448242502418,0,D
IA,2016,District 23,19020,0,1.0,0,D
IA,2016,District 25,10345,16621,0.3836312393384262,0,R
IA,2016,District 27,12823,12322,0.5099622191290515,0,D
IA,2016,District 29,13437,15493,0.4644659522986519,0,R
IA,2016,District 3,8884,16366,0.3518415841584158,0,R
IA,2016,District 31,14573,0,1.0,0,D
IA,2016,District 33,17912,9407,0.6556608953475603,0,D
IA,2016,District 35,19875,0,1.0,0,D
IA,2016,District 37,20321,0,1.0,0,D
IA,2016,District 39,15758,13130,0.5454860149543063,0,D
IA,2016,District 41,10652,11460,0.48172937771345875,0,R
IA,2016,District 43,23790,6107,0.7957320132454762,0,D
IA,2016,District 45,14629,0,1.0,0,D
IA,2016,District 47,14418,16125,0.4720557901974266,0,R
IA,2016,District 49,10916,13305,0.4506832913587383,0,R
IA,2016,District 5,8935,14571,0.3801157151365609,0,R
IA,2016,District 7,9125,8676,0.5126116510308409,0,D
IA,2016,District 9,0,18533,0.0,0,R
ID,2016,District 1,5125,14831,0.25681499298456606,0,R
ID,2016,District 10,4720,7526,0.38543197778866567,0,R
ID,2016,District 11,3949,13834,0.22206601810718102,0,R
ID,2016,District 12,4875,9089,0.349112002291607,0,R
ID,2016,District 13,0,12550,0.0,0,R
ID,2016,District 14,8268,18893,0.3044070542321711,0,R
ID,2016,District 15,8942,8948,0.49983230855226385,0,R
ID,2016,District 16,12784,6819,0.6521450798347191,0,D
ID,2016,District 17,11652,5069,0.6968482746247234,0,D
ID,2016,District 18,17090,0,1.0,0,D
ID,2016,District 19,18793,6401,0.7459315710089703,0,D
ID,2016,District 2,5131,15109,0.25350790513833993,0,R
ID,2016,District 20,0,14535,0.0,0,R
ID,2016,District 21,7776,12275,0.38781108174155904,0,R
ID,2016,District 22,4731,10709,0.3064119170984456,0,R
ID,2016,District 23,0,10492,0.0,0,R
ID,2016,District 24,0,10547,0.0,0,R
ID,2016,District 25,0,11969,0.0,0,R
ID,2016,District 26,10094,6768,0.598624125252046,0,D
ID,2016,District 27,0,10291,0.0,0,R
ID,2016,District 28,6268,10174,0.3812188298260552,0,R
ID,2016,District 29,8338,6074,0.5785456563974466,0,D
ID,2016,District 3,4707,12226,0.27797791295104235,0,R
ID,2016,District 30,0,12838,0.0,0,R
ID,2016,District 31,0,11084,0.0,0,R
ID,2016,District 32,0,13347,0.0,0,R
ID,2016,District 33,5379,7899,0.40510619069136916,0,R
ID,2016,District 34,1858,9500,0.16358513822856136,0,R
ID,2016,District 35,0,13123,0.0,0,R
ID,2016,District 4,7749,10579,0.42279572239196855,0,R
ID,2016,District 5,11197,8777,0.5605787523780915,0,D
ID,2016,District 6,0,13353,0.0,0,R
ID,2016,District 7,0,13936,0.0,0,R
ID,2016,District 8,0,14128,0.0,0,R
ID,2016,District 9,0,13849,0.0,0,R
IL,2016,District 11,39158,0,1.0,0,D
IL,2016,District 12,38061,0,1.0,0,D
IL,2016,District 14,65275,0,1.0,0,D
IL,2016,District 15,59332,0,1.0,0,D
IL,2016,District 17,66268,0,1.0,0,D
IL,2016,District 18,64048,0,1.0,0,D
IL,2016,District 2,51282,0,1.0,0,D
IL,2016,District 20,55151,0,1.0,0,D
IL,2016,District 21,49928,48749,0.5059740365029338,0,D
IL,2016,District 23,39604,32582,0.5486382401019588,0,D
IL,2016,District 24,51695,50059,0.5080389960099848,0,D
IL,2016,District 26,42924,51754,0.4533682587295887,0,R
IL,2016,District 27,46981,43375,0.5199544025853291,0,D
IL,2016,District 29,51162,29791,0.6319963435573728,0,D
IL,2016,District 3,62764,0,1.0,0,D
IL,2016,District 30,38860,18263,0.6802863995238345,0,D
IL,2016,District 32,35936,43402,0.4529481459073836,0,R
IL,2016,District 33,44965,46040,0.49409373111367505,0,R
IL,2016,District 35,0,62422,0.0,0,R
IL,2016,District 36,37447,38728,0.4915917295700689,0,R
IL,2016,District 38,32799,47977,0.40604882638407447,0,R
IL,2016,District 39,54149,0,1.0,0,D
IL,2016,District 41,48046,49692,0.4915795289447298,0,R
IL,2016,District 42,41787,0,1.0,0,D
IL,2016,District 44,0,70464,0.0,0,R
IL,2016,District 45,29781,49936,0.37358405358957314,0,R
IL,2016,District 47,0,61521,0.0,0,R
IL,2016,District 48,42068,32021,0.5678035875771033,0,D
IL,2016,District 5,63756,0,1.0,0,D
IL,2016,District 50,0,72429,0.0,0,R
IL,2016,District 51,0,77252,0.0,0,R
IL,2016,District 53,0,66592,0.0,0,R
IL,2016,District 54,25510,59476,0.3001670863436331,0,R
IL,2016,District 56,45727,0,1.0,0,D
IL,2016,District 57,44254,30496,0.5920267558528428,0,D
IL,2016,District 59,32125,50475,0.3889225181598063,0,R
IL,2016,District 6,88756,0,1.0,0,D
IL,2016,District 8,50071,0,1.0,0,D
IL,2016,District 9,73710,28889,0.7184280548543358,0,D
IN,2016,District 1,29578,17144,0.633063653097042,0,D
IN,2016,District 11,17179,27089,0.38806813047799765,0,R
IN,2016,District 14,0,34542,0.0,0,R
IN,2016,District 15,19321,23980,0.44620216623172676,0,R
IN,2016,District 17,11911,30320,0.2820439961165968,0,R
IN,2016,District 19,0,29985,0.0,0,R
IN,2016,District 21,15733,29797,0.3455523830441467,0,R
IN,2016,District 22,16721,20727,0.44651249732963044,0,R
IN,2016,District 23,0,36226,0.0,0,R
IN,2016,District 25,19577,16640,0.5405472568130988,0,D
IN,2016,District 26,18556,27647,0.4016189424929117,0,R
IN,2016,District 27,11429,27795,0.2913777279216806,0,R
IN,2016,District 29,31974,24403,0.5671461766323146,0,D
IN,2016,District 31,28612,30221,0.4863257015620485,0,R
IN,2016,District 38,16969,21508,0.4410167112820646,0,R
IN,2016,District 39,0,34199,0.0,0,R
IN,2016,District 4,26762,17557,0.6038493648322389,0,D
IN,2016,District 41,14458,28888,0.333548655008536,0,R
IN,2016,District 43,0,35509,0.0,0,R
IN,2016,District 45,16493,30357,0.3520384204909285,0,R
IN,2016,District 46,22571,27012,0.4552165056571809,0,R
IN,2016,District 47,16064,31853,0.33524636350355824,0,R
IN,2016,District 48,0,38824,0.0,0,R
IN,2016,District 49,16276,28895,0.3603196741272055,0,R
IN,2016,District 6,18819,32354,0.36775252574599887,0,R
KS,2016,District 13,9310,12836,0.4203919443691863,0,R
KY,2016,District 10,24224,0,1.0,0,D
KY,2016,District 12,26102,26874,0.49271368166717006,0,R
KY,2016,District 14,15842,29752,0.3474579988594991,0,R
KY,2016,District 16,0,33447,0.0,0,R
KY,2016,District 18,21644,15823,0.5776816932233699,0,D
