State,n_seats,seats_d,avg_win_d,n_uncontested_d,seats_r,avg_win_r,n_uncontested_r,voteshare_d,weighted_voteshare,t_test_p,non_parametric_p,mean_median_diff,efficiency_gap,partisan_bias
AK,10.0,4.0,0.7777701683411467,2,6.0,0.7547735160750301,2,0.45824395769144066,0.4425030059607562,0.43869625901338033,0.4562105021602942,0.03739942189719914,0.01648791538288119,0.09999999999999998
AR,10.0,2.0,0.8074560085478647,1,8.0,0.7473762223921079,2,0.36359022379588657,0.3511887642603777,0.3438463047612589,0.44742486206364507,0.05376661446931452,0.027180447591773273,0.09999999999999998
AZ,30.0,13.0,0.8020725936981984,6,17.0,0.6163676905895068,1,0.5649564326018321,0.5070986417539958,0.0015718079748947465,0.003515689220639775,0.07411639902522871,0.19657953187033098,0.06666666666666665
CA,20.0,14.0,0.7976373916402201,6,6.0,0.5618478659014775,0,0.6897918143777109,0.6535499844178119,0.994783295190681,0.006835768184873933,0.025818762865095213,0.17958362875542172,0.04999999999999999
CO,17.0,10.0,0.6628708445434675,1,7.0,0.6271514664875714,0,0.5434498929424515,0.528094833584333,0.7049208789428005,0.33027460260083646,-0.017576646192669076,-0.0013355082327440283,-0.02941176470588236
CT,36.0,23.0,0.6502387779914942,2,13.0,0.5509771683949721,0,0.5775774640186035,0.553584771764313,0.984631739994515,0.03255778639194861,0.048528253805834365,0.016266039148318454,0.1111111111111111
DE,10.0,6.0,0.7587126819431179,2,4.0,0.594858198331842,0,0.617284329833134,0.5790845904213878,0.920574362363841,0.16794349163967381,0.04127886374640388,0.13456865966626794,0.0
FL,19.0,4.0,0.758965355690943,2,15.0,0.5904033719240274,0,0.48314793915280857,0.4585923534661515,0.01956967538349953,0.3631117097649983,0.025827142393547053,0.25576956251614336,0.2368421052631579
GA,56.0,21.0,0.9113688276529085,15,35.0,0.8256321835004027,18,0.45074319568208887,0.45547026379286326,0.045404412952543695,0.0576323883534495,0.05676819164919328,0.02648639136417774,0.07142857142857145
HI,8.0,7.0,0.807430233927772,3,1.0,0.5047177484952009,0,0.7684117361249004,0.7560267718812618,-1.0,,0.07209667627662919,0.16182347224980087,0.125
IA,25.0,12.0,0.8067081348297899,6,13.0,0.6408108995762701,2,0.5739982369386386,0.5505784177370531,0.02070249784644354,0.057528937916842125,0.08767000404906222,0.16799647387727717,0.14
ID,35.0,7.0,0.6903819227851425,1,28.0,0.8351400338562929,14,0.2699643574719941,0.30975486682950376,0.9708659966090399,0.030833130346753692,0.013149364487427984,-0.16007128505601184,0.01428571428571429
IL,39.0,24.0,0.8447144506902372,15,15.0,0.7431797414171647,6,0.6186012998796983,0.5812379650294603,0.9203697394757498,0.08102866512284645,0.05079771230259489,0.12181798437478093,0.038461538461538436
IN,25.0,4.0,0.5861516128436736,0,21.0,0.7270075999527519,6,0.32309787409467616,0.34406676146297116,0.9258845016862242,0.05429948740973232,-0.037221800032529284,-0.013804251810647478,-0.18000000000000005
KS,1.0,0.0,N/A,0,1.0,0.5796080556308136,0,0.4203919443691863,0.4203919443691863,-1.0,,0.0,0.3407838887383727,0.5
KY,19.0,2.0,0.788840846611685,1,17.0,0.6362416615415694,2,0.4085038656324575,0.41015698764996916,0.11502926508638464,0.19352121137179445,-0.022526065001438278,0.21174457337017816,-0.07894736842105265
MA,40.0,34.0,0.888836811064454,24,6.0,0.7076953680953985,2,0.7993569841904762,0.7693604341958099,0.9837077817186901,0.011010077417029071,-0.20064301580952382,0.24871396838095244,-0.09999999999999998
MD,47.0,32.0,0.8318050455075313,12,15.0,0.6730696027468669,3,0.6706748386178298,0.65656765066229,0.9976372895905439,0.003204837588548049,-0.05036438326757309,0.16049861340587232,-0.010638297872340385
ME,35.0,21.0,0.6624796970290193,3,14.0,0.5871472919767561,0,0.5626289014267093,0.5640865095289925,0.9575170601234962,0.06696109691730523,-0.01435166658524889,0.025257802853418658,-0.014285714285714235
MI,38.0,16.0,0.6787919838240908,0,22.0,0.5898006325757069,0,0.5232909953821028,0.5133547038850025,0.000971411766808295,0.012800731849145455,0.06086550282497705,0.12552935918525795,0.15789473684210525
MN,1.0,0.0,N/A,0,1.0,0.5741103061710116,0,0.4258896938289885,0.42588969382898845,-1.0,,0.0,0.35177938765797695,0.5
MO,17.0,3.0,0.7973164976902002,1,14.0,0.6652341342726223,0,0.41639244783846396,0.41185053773900654,0.0383697488121127,0.09293836618293794,0.055327774548437236,0.1563143074416339,0.14705882352941174
MT,25.0,11.0,0.6510591278240256,2,14.0,0.7420150824449662,4,0.4309375700733902,0.43671583810173764,0.8833616588678425,0.06479495586663914,-0.023718865224830854,-0.07812485985321956,-0.06000000000000005
NC,50.0,21.0,0.660021043876127,0,29.0,0.6158178634615226,0,0.5000344776202902,0.5051875088527542,0.03821589973400974,0.07565868620912031,0.039014258282587644,0.08006895524058066,0.08000000000000002
ND,24.0,6.0,0.6488252329689638,1,18.0,0.7076248073450713,3,0.38148770273343735,0.36646842971023663,0.7737639668230616,0.11456223786838021,0.0050684783104603115,0.012975405466874776,0.0
NH,24.0,14.0,0.61583767797217,1,10.0,0.5531722759929187,0,0.5454168638200497,0.539246093934645,0.9183280599853418,0.23210715638551577,0.03241851853518729,0.007500394306766152,0.16666666666666669
NV,11.0,6.0,0.7479091986462358,2,5.0,0.6033801331194617,0,0.5882322296618279,0.5137018170391989,0.9027764060171737,0.15710005463690396,0.07197980131070336,0.1310099138691103,0.13636363636363635
NY,63.0,40.0,0.8146260086690666,16,23.0,0.6954738922989013,7,0.6283990606966341,0.6025214495883451,0.9856086684696422,0.0427414933372116,0.07740215514772075,0.12187748647263326,0.03968253968253971
OH,17.0,7.0,0.7237409638212051,0,10.0,0.6017867195551134,0,0.5322540912469002,0.5263679581014923,0.012014057652571733,0.028519937124527765,0.056432056150361065,0.15274347661144716,0.14705882352941174
OK,19.0,4.0,0.6477676431974536,0,15.0,0.667989864432592,1,0.3984854003316282,0.4008749605451066,0.6274624786279135,0.19766254312269238,0.029779675652325033,0.0864444848737826,0.1842105263157895
OR,17.0,11.0,0.7344380523876342,3,6.0,0.5821476516599868,0,0.6227019215472973,0.5990220256553712,0.9616972898833794,0.024727672115329762,0.02876673904300253,0.09834501956518273,0.14705882352941174
PA,25.0,12.0,0.7580872479282862,5,13.0,0.631636140398773,1,0.5554310859982154,0.5418760399056484,0.05222093458376674,0.22163666489738776,0.05577150369993583,0.13086217199643077,0.21999999999999997
RI,38.0,33.0,0.8323113850636639,18,5.0,0.6427815555275093,1,0.7697991560385095,0.7224290478662156,0.9767859985200665,0.010502223173391783,0.0468728800559115,0.17117725944544002,0.026315789473684237
SD,35.0,5.0,0.7285406940519255,2,30.0,0.6759634496639034,3,0.381822856581215,0.3722867427882658,0.2349293712351853,0.32690960142373165,0.005358882066083259,0.12078857030528718,0.07142857142857145
TN,18.0,4.0,0.9586950314106225,3,14.0,0.7337495364796067,3,0.42012703416266645,0.40611212312363587,0.008736083554277381,0.015254940135705523,0.08032271381222567,0.11803184610311059,0.16666666666666669
TX,14.0,4.0,0.6171279972325574,0,10.0,0.6437965683260666,1,0.43075330754782604,0.4457840576737839,0.6200359261412257,0.4718140111014917,-0.013291515633672202,0.07579232938136633,0.0
UT,15.0,5.0,0.6794348443028315,0,10.0,0.7815150362432405,3,0.3721349239387835,0.40002115125497445,0.8900365219627631,0.14806437512984594,0.04961907281831501,-0.0890634854557663,0.09999999999999998
WA,25.0,17.0,0.823450991652417,8,8.0,0.6510730260222013,1,0.6716033059965392,0.6475724265536106,0.9761582203124655,0.05046954360638657,0.04002347378120974,0.1632066119930782,0.06
WI,17.0,6.0,0.7275675301681418,1,11.0,0.6474595316958586,2,0.4849029607267296,0.4723268635913439,0.21332874364616977,0.32513770937195563,0.026132627595644164,0.11686474498287111,0.08823529411764708
WV,17.0,8.0,0.5393357985743604,0,9.0,0.6367265837805457,1,0.4461263020335278,0.45201934331520943,0.9581339153905812,0.009198890711786957,-0.02928632828947436,-0.07833563122706204,-0.08823529411764708
WY,15.0,2.0,0.8116505861603901,1,13.0,0.8646756584094951,8,0.22550117419982302,0.2491762532921365,0.6378773321602227,0.38689894486109466,0.22550117419982302,-0.18233098493368732,0.09999999999999998
